Swimming at the 1988 Summer Olympics – Women's 200 metre backstroke	/m/09v81tm	Women's 200m backstroke		/m/07k0rh9,/m/07k0mw9,/m/07wrq9g	1988 Summer Olympics
Shooting at the 1988 Summer Olympics - Women's 25 metre pistol	/m/04mwvxw	Women's 25m pistol		/m/079rjrm,/m/09k0kp5,/m/07cn47m	1988 Summer Olympics
Wrestling at the 1976 Summer Olympics - Men's freestyle Flyweight	/m/04n4zgw	Men's Freestyle Wrestling, flyweight 48-52 kg		/m/07ygpqg,/m/07yjd54,/m/07yks8s	1976 Summer Olympics
Canoeing at the 1984 Summer Olympics - Men's K-2 1000 metres	/m/04m_ghg				
Canoeing at the 1968 Summer Olympics - Men's K-2 1000 metres	/m/04n53qx			/m/05ym2sx	
Canoeing at the 1988 Summer Olympics - Men's K-4 1000 metres	/m/04n6qtk				
Handball at the 1992 Summer Olympics - Men's tournament	/m/05f4mpg	Men's handball		/m/0bwpcy7,/m/07nnx6l,/m/07qkzgc	1992 Summer Olympics
Gymnastics at the 1928 Summer Olympics - Men's Vault	/m/07ngnzz	Men's Vault		/m/07nnrhv,/m/07ngn_5,/m/07nnrpx	1928 Summer Olympics
Gymnastics at the 1980 Summer Olympics – Women's artistic team all-around	/m/07k8dy6				
athletics at the 1968 Summer Olympics - Men's Decathlon	/m/07hr9fq	Men's Decathlon		/m/07hr9g9,/m/07mhmd0,/m/07mhmd8	1968 Summer Olympics
Alpine Skiing at the 1960 Winter Olympics - Women's Downhill	/m/07shc1c	Women's Downhill		/m/07shqqh,/m/07shqmg,/m/07shc1m	1960 Winter Olympics
Wrestling at the 1956 Summer Olympics - Greco-Roman Heavyweight	/m/07n7bt_	Men's Greco-Roman Wrestling, Heavyweight +87		/m/07nhthh,/m/07nht7q,/m/07n7bv6	1956 Summer Olympics
Athletics at the 1996 Summer Olympics - Women's 200 metres	/m/083jcgj	Women's Athletics, 200m		/m/08nbjpn,/m/08nbjpc,/m/083jch3	1996 Summer Olympics
Weightlifting at the 1968 Summer Olympics - Men's Featherweight 56-60 kg	/m/07jxmvq	Men's Weightlifting, Featherweight 56-60kg		/m/07mmlr2,/m/07jxmw7,/m/07mmlrb	1968 Summer Olympics
Judo at the 1996 Summer Olympics - Men's Middleweight (86kg)	/m/07zvcbc	Men's Judo, Middleweight 78-86		/m/082j8l_,/m/07_44gs,/m/07zvcc3,/m/07zkdpk	1996 Summer Olympics
Speed Skating at the 1972 Winter Olympics - Men's 1500m	/m/07tlcp2	Men's 1500m		/m/07tlcpb,/m/07tljnw,/m/07tljp3	1972 Winter Olympics
Biathlon at the 2010 Winter Olympics – Men's sprint	/m/08054db	Men's 10 km Sprint	Whistler Olympic Park	/m/0b3w087,/m/0b3w08j,/m/0b3w08s	2010 Winter Olympics
Athletics at the 1956 Summer Olympics - Men's 400 metres	/m/07n7b20	Men's Athletics, 400m		/m/07n7b27,/m/07nnq7c,/m/07nht3v,/m/07n93fq	1956 Summer Olympics
Wrestling at the 1956 Summer Olympics - Men's Freestyle Bantamweight	/m/07mrmfl	Men's Freestyle Wrestling, Bantamweight 52-57 kg		/m/07mrmfy,/m/07mrmp7,/m/07n7bvr	1956 Summer Olympics
